Ticker,Name,Exchange
CHFMVR=X,CHF/MVR,CCY
CZKBHD=X,CZK/BHD,CCY
CADZMW=X,CAD/ZMW,CCY
CNHSGD=X,CNH/SGD,CCY
CADBND=X,CAD/BND,CCY
CHFBWP=X,CHF/BWP,CCY
CZKTND=X,CZK/TND,CCY
CADPHP=X,CAD/PHP,CCY
CADSEK=X,CAD/SEK,CCY
CNYCAD=X,CNY/CAD,CCY
CHFSHP=X,CHF/SHP,CCY
CUPEUR=X,CUP/EUR,CCY
CNYZAR=X,CNY/ZAR,CCY
CHFGHS=X,CHF/GHS,CCY
CZK=X,USD/CZK,CCY
CHFJOD=X,CHF/JOD,CCY
CHFNZD=X,CHF/NZD,CCY
CZKHUF=X,CZK/HUF,CCY
CDF=X,USD/CDF,CCY
CHFWST=X,CHF/WST,CCY
CADSRD=X,CAD/SRD,CCY
CADCLP=X,CAD/CLP,CCY
HKDSEK=X,HKD/SEK,CCY
CHFMZN=X,CHF/MZN,CCY
CHFPYG=X,CHF/PYG,CCY
CADLVL=X,CAD/LVL,CCY
CADLTL=X,CAD/LTL,CCY
CADMUR=X,CAD/MUR,CCY
CNYEUR=X,CNY/EUR,CCY
