name,code
유니온커뮤니티,203450.KQ
유니테스트,086390.KQ
유니테크노,241690.KQ
유성티엔에스,024800.KQ
유신,054930.KQ
유안타제7호스팩,367460.KQ
유티아이,179900.KQ
이랜텍,054210.KQ
이베스트스팩5호,349720.KQ
이스트소프트,047560.KQ
이엔코퍼레이션,066980.KQ
이엠넷,123570.KQ
인성정보,033230.KQ
인지소프트,100030.KQ
인텍플러스,064290.KQ
인포바인,115310.KQ
일승,333430.KQ
잉크테크,049550.KQ
자비스,254120.KQ
자이글,234920.KQ
정상제이엘에스,040420.KQ
제우스,079370.KQ
제이씨현시스템,033320.KQ
제이엘케이,322510.KQ
제이엠티,094970.KQ
제주반도체,080220.KQ
조아제약,034940.KQ
주성엔지니어링,036930.KQ
중앙디앤엠,051980.KQ
지니언스,263860.KQ
지아이텍,382480.KQ
지엔씨에너지,119850.KQ
지티지웰니스,219750.KQ
초록뱀컴퍼니,052300.KQ
캐스텍코리아,071850.KQ
커머스마이너,223310.KQ
케이비제20호스팩,342550.KQ
케이피엠테크,042040.KQ
케이피티유,054410.KQ
케일럼,258610.KQ
켄코아에어로스페이스,274090.KQ
코드네이처,078940.KQ
코리아에스이,101670.KQ
코스나인,082660.KQ
코스온,069110.KQ
코오롱생명과학,102940.KQ
코퍼스코리아,322780.KQ
클리오,237880.KQ
탑엔지니어링,065130.KQ
텔콘RF제약,200230.KQ
토탈소프트,045340.KQ
트루윈,105550.KQ
트윔,290090.KQ
특수건설,026150.KQ
티앤알바이오팹,246710.KQ
티에스넥스젠,043220.KQ
티케이케미칼,104480.KQ
파커스,065690.KQ
패션플랫폼,225590.KQ
포인트엔지니어링,256630.KQ
포커스에이치엔에스,331380.KQ
푸드웰,005670.KQ
풍원정밀,371950.KQ
프롬바이오,377220.KQ
플라즈맵,405000.KQ
피델릭스,032580.KQ
피에스엠씨,024850.KQ
피에스케이,319660.KQ
피에스케이홀딩스,031980.KQ
피제이전자,006140.KQ
하나금융19호스팩,388220.KQ
하이딥,365590.KQ
하이즈항공,221840.KQ
한국경제TV,039340.KQ
한국맥널티,222980.KQ
한국선재,025550.KQ
한국제10호스팩,409570.KQ
한국제11호스팩,436610.KQ
한독크린텍,256150.KQ
한솔인티큐브,070590.KQ
한양디지텍,078350.KQ
한화플러스제2호스팩,386580.KQ
현대무벡스,319400.KQ
현대바이오,048410.KQ
현대바이오랜드,052260.KQ
화성밸브,039610.KQ
휴림로봇,090710.KQ
